Field,w_hbw_size_H,w_hbw_size_L,n_hbsch_size,n_hbshp_size,n_hbsr_size,n_hbo_size,w_hbo_size,Description
Service_RateLow_EH,0,0,0,0,0,0,0,Attractions/Size terms for destination choice
Service_RateHigh_EH,0,0,0,0,0,0,0,Separate attraction rates are used for high- and low-income households for work trips
Office_EH,0,0,0,0,0,0,0,"The 'EL' and 'EH' suffice on employment is 'Earning Low' and ""Earning High'"
Industry_EH,0,0,0,0,0,0,0,See PctHighEarn field (source: LEHD)
Retail_EH,0,0,0,0,0,0,0,
Service_RateLow_EL,0,0,0,0,0,0,0,
Service_RateHigh_EL,0,0,0,0,0,0,0,
Office_EL,0,0,0,0,0,0,0,
Industry_EL,0,0,0,0,0,0,0,
Retail_EL,0,0,0,0,0,0,0,
Service_RateLow,0.788,0.788,0,0,0.0043,0.141,0,
Service_RateHigh,0.788,0.788,0,0,0.0008,0,0,
Office,0.278,0,0,0,0,0,0.304221264,
Industry,1.24,1.24,0,0,0,0.039,0.130028711,
Retail,0,0.864,0,0.145148198,0.0037,0.099,1.038211997,
HH,0,0,0,0,0,0,0,
HH_POP,0,0,0,0,1,0,0.001549226,
K12,0,0,1,0,0,0.069,0,
